,iFoodAtHome,iFoodAway,iHousing,iUtilites,iClothingAndBeauty,iTransportation,iHealthcare,iEntertainment,iMiscellaneous,iCharitableAndFamilyGiving,iInsurance,iEducation,ExpInc
0,0.13870542400968802,0.07295517437351945,0.291188639960908,0.09958092992128494,0.025477495564974452,0.14060591212806867,0.1396953376461965,0.051854278870157325,0.03679444586081987,0.031097960950529545,0.004036669959739528,0.0018075384811498136,1.0
1,0.14216525389188983,0.06230736265093204,0.276651243572702,0.11824412393033056,0.02786447046973853,0.15879975884769876,0.12068106962505981,0.05517327373933761,0.016944823094448898,0.04069445083374292,0.006465835546720837,0.003125779326274705,1.0
2,0.12861242622330135,0.06488965967155301,0.2464194165646253,0.10026360655260962,0.025570982083311083,0.17975075520886494,0.1414921523431678,0.06346494832590126,0.019580203698768766,0.04823158228525937,0.005507578933063174,0.003245657426688884,1.0
3,0.11679795955343805,0.06373740615310522,0.25841914763102236,0.09508584379647514,0.028972543306158737,0.19536595805924692,0.13912605654172067,0.056337480396892195,0.016734661368684678,0.05190660746415548,0.008168679648306155,0.004046379544113339,0.8705089278636886
4,0.1128420603712654,0.061637819966809955,0.27889130279698443,0.08754624834371384,0.03197533785509041,0.1926677444140421,0.13365055022421019,0.053744366482966224,0.016851335183981766,0.050209591587801,0.009034093279074328,0.00465709272512725,0.7347862577052637
5,0.10564467502524942,0.0537768522085507,0.26119088116579203,0.082414521858858,0.02424184444985065,0.2590047982043637,0.12379374116098818,0.05428655534119335,0.014699440595239994,0.042134430300882576,0.0094436520872369,0.008610091161939696,0.6861324318229647
6,0.09994882125452392,0.0664324933885293,0.2730184806419649,0.07954572280671383,0.03114488457694759,0.21141770270082136,0.11530547143463316,0.07226584135012618,0.016753245809910458,0.06702872123351974,0.009443401634209071,0.006981464880364009,0.6182335049543632
7,0.09754422204319954,0.05842281024285114,0.3339841496078715,0.08007518952304228,0.03772861539732705,0.19971218662425205,0.09933513733104735,0.06354451123367279,0.016270682282952222,0.047911425089339196,0.00962480978840897,0.016011512535029918,0.5095575414116155
8,0.08981951585702633,0.06982021955968257,0.3227355193693043,0.06805996081088815,0.03679418456561838,0.1713764268072409,0.09257798573131519,0.06990885046385363,0.026870752313812193,0.07220924553944932,0.016398053415930803,0.020367404047581878,0.45892392762003736
9,0.08008728306186796,0.06762539986207168,0.30335319669449357,0.05659345201899816,0.04023393041891285,0.22365155662148242,0.08027727147111555,0.0630151117622056,0.03335502789773318,0.06358979879858301,0.009111717047935543,0.018767472301655923,0.3695200966430621
